movie_id,average_rating,num_votes
tt0000009,5.3,239
tt0000574,6.0,1070
tt0000838,2.8,18
tt0000941,4.3,39
tt0001051,3.4,17
tt0001122,4.4,24
tt0001175,5.5,53
tt0001338,4.8,21
tt0001440,3.7,32
tt0001592,5.8,43
tt0001790,5.9,69
tt0002020,4.7,192
tt0002026,4.6,19
tt0002101,5.1,672
tt0002130,7.1,4113
tt0002199,5.9,712
tt0002452,6.3,289
tt0002461,5.7,358
tt0002555,4.6,56
tt0002588,5.8,65
tt0002642,5.7,15
tt0002767,5.7,78
tt0002801,5.6,39
tt0002820,6.2,22
tt0002844,6.9,2722
tt0002880,6.8,9
tt0002917,5.7,52
tt0002973,5.8,36
tt0002996,3.6,40
tt0003015,4.6,79
tt0003022,5.7,127
tt0003037,6.9,1845
tt0003039,5.8,11
tt0003131,6.6,213
tt0003159,5.7,66
tt0003309,4.3,39
tt0003316,6.6,25
tt0003362,6.0,34
tt0003367,5.5,12
tt0003419,6.4,2707
tt0003441,6.0,22
tt0003442,5.2,35
tt0003630,4.6,36
tt0003657,6.5,298
tt0003665,6.3,108
tt0003740,7.1,4335
tt0003771,7.0,18
tt0003774,5.4,22
tt0003854,3.7,31
tt0003930,6.8,1560
tt0004052,6.8,129
tt0004066,6.8,764
tt0004121,5.5,194
tt0004134,6.4,836
tt0004150,5.8,595
tt0004181,6.2,1543
tt0004182,6.9,73
tt0004199,4.0,35
tt0004223,6.2,83
tt0004238,5.4,22
tt0004307,5.5,33
tt0004325,5.9,41
tt0004336,5.8,48
tt0004465,6.3,1124
tt0004558,6.3,36
tt0004635,5.6,1153
tt0004707,6.2,3914
tt0004712,6.2,273
tt0004728,4.2,42
tt0004743,5.7,219
tt0004847,4.1,35
tt0004869,4.2,36
tt0004873,6.1,985
tt0004938,4.4,15
tt0004972,6.1,28269
tt0004979,4.6,21
tt0005059,6.5,195
tt0005060,6.3,1181
tt0005078,6.5,3068
tt0005172,6.0,39
tt0005209,5.1,49
tt0005302,6.4,411
tt0005339,5.7,1163
tt0005381,5.4,111
tt0005530,6.6,13
tt0005557,6.6,525
tt0005621,6.8,60
tt0005809,6.7,330
tt0005889,6.5,12
tt0005903,7.3,10
tt0005916,6.8,1132
tt0005928,5.3,34
tt0005960,6.8,1564
tt0005994,8.4,17
tt0006027,6.1,21
tt0006041,5.9,21
tt0006182,5.6,159
tt0006206,7.3,5878
tt0006238,7.3,44
tt0006332,5.8,14
tt0006333,6.1,2240
tt0006375,6.0,72
tt0006386,6.3,54
tt0006568,6.6,75
tt0006600,3.8,34
tt0006614,6.4,342
tt0006623,5.2,12
tt0006664,5.3,113
tt0006666,5.6,45
tt0006673,3.5,31
tt0006707,5.4,21
tt0006714,4.9,21
tt0006715,6.7,12
tt0006753,6.6,285
tt0006819,5.9,79
tt0006864,7.6,17946
tt0006886,7.2,1229
tt0006893,4.4,35
tt0007005,4.6,32
tt0007012,4.3,35
tt0007100,7.5,41
tt0007111,5.6,32
tt0007167,5.1,33
tt0007168,7.2,11
tt0007183,6.6,927
tt0007230,7.0,15
tt0007255,5.1,30
tt0007309,5.6,350
tt0007340,6.9,910
tt0007361,6.2,516
tt0007453,7.7,64
tt0007459,6.6,155
tt0007522,5.7,228
tt0007755,6.1,767
tt0007765,4.0,30
tt0007801,6.6,418
tt0007857,7.1,28
tt0007885,5.3,40
tt0007910,6.5,61
tt0007958,6.1,33
tt0007963,7.5,24
tt0007984,4.0,29
tt0007986,5.8,31
tt0007998,6.8,32
tt0008031,5.5,29
tt0008039,4.1,31
tt0008041,6.8,42
tt0008122,6.6,48
tt0008150,6.4,715
tt0008161,6.2,89
tt0008163,3.4,32
tt0008164,3.5,31
tt0008169,7.8,15
tt0008177,6.0,21
tt0008188,6.3,803
tt0008196,6.1,758
tt0008241,6.9,25
tt0008279,6.2,175
tt0008305,6.7,42
tt0008362,7.3,113
tt0008395,6.8,676
tt0008411,6.2,44
tt0008416,6.5,48
tt0008442,7.0,75
tt0008443,6.7,1672
tt0008499,6.3,929
tt0008536,6.7,263
tt0008543,8.0,27
tt0008558,4.2,32
tt0008634,6.4,855
tt0008651,3.6,32
tt0008658,4.1,31
tt0008663,7.3,2571
tt0008687,6.1,210
tt0008710,6.7,257
tt0008725,5.8,61
tt0008745,3.9,33
tt0008783,6.6,171
tt0008804,3.9,32
tt0008806,4.1,30
tt0008807,6.5,118
tt0008810,4.3,41
tt0008814,7.2,16
tt0008825,6.0,35
tt0008843,5.9,196
tt0008845,5.6,29
tt0008891,6.9,1124
tt0008919,6.3,29
tt0008947,1.6,17
tt0008979,7.5,16
tt0008983,3.9,30
tt0009014,6.0,270
tt0009062,6.1,679
tt0009109,6.3,167
tt0009136,6.6,32
tt0009145,5.9,121
tt0009241,6.1,758
tt0009273,6.4,179
tt0009322,4.0,32
tt0009325,5.3,42
tt0009419,5.1,35
tt0009436,7.1,27
tt0009475,5.4,538
tt0009559,6.2,526
tt0009573,6.5,63
tt0009608,5.6,762
tt0009615,7.2,15
tt0009619,6.0,25
tt0009651,6.0,51
tt0009652,6.9,1698
tt0009682,5.8,1016
tt0009694,6.2,125
tt0009750,4.3,40
tt0009754,4.3,31
tt0009765,4.8,56
tt0009771,4.7,36
tt0009852,6.3,23
tt0009853,5.4,44
tt0009857,3.7,20
tt0009878,7.0,1700
tt0009892,5.4,1289
tt0009893,7.2,2394
tt0009900,6.3,1021
tt0009905,7.6,122
tt0009915,7.2,495
tt0009937,6.9,1818
tt0009968,7.2,11782
tt0010060,6.3,938
tt0010071,6.6,1323
tt0010103,5.8,723
tt0010108,6.7,247
tt0010112,5.9,137
tt0010113,6.0,61
tt0010137,6.0,763
tt0010180,6.8,209
tt0010193,6.0,772
tt0010195,6.7,335
tt0010203,6.9,90
tt0010219,5.2,408
tt0010237,5.0,9
tt0010247,7.1,1691
tt0010265,6.0,21
tt0010281,6.8,1825
tt0010307,7.7,2405
tt0010315,7.0,38
tt0010323,8.0,76170
tt0010386,6.2,160
tt0010418,7.0,2065
tt0010446,5.9,178
tt0010456,6.0,280
tt0010497,5.1,26
tt0010501,6.2,23
tt0010507,7.5,18
tt0010536,5.7,11
tt0010570,6.7,18
tt0010598,6.6,1164
tt0010600,7.4,2663
tt0010612,5.8,26
tt0010616,6.6,121
tt0010654,5.3,22
tt0010754,6.4,60
tt0010764,7.1,24
tt0010777,6.0,14
tt0010791,6.4,181
tt0010793,6.5,31
tt0010795,6.8,50
tt0010799,7.0,17
tt0010871,4.6,43
tt0010969,6.7,459
tt0010994,6.1,35
tt0011031,6.1,91
tt0011045,7.3,11
tt0011110,7.1,15
tt0011114,6.0,41
tt0011128,6.3,173
tt0011130,6.9,6661
tt0011193,6.4,481
tt0011216,6.8,63
tt0011217,6.2,566
tt0011221,5.9,1260
tt0011237,7.2,9503
tt0011252,5.0,13
tt0011294,7.1,267
tt0011302,6.9,306
tt0011309,4.0,56
tt0011313,6.5,129
tt0011348,7.3,185
tt0011358,6.5,569
tt0011361,6.4,12
tt0011369,8.2,127
tt0011370,6.9,498
tt0011371,6.5,531
tt0011387,6.6,1581
tt0011394,6.7,57
tt0011396,5.5,64
tt0011401,6.3,202
tt0011439,7.0,3079
tt0011454,6.1,17
tt0011565,7.3,2861
tt0011588,6.4,562
tt0011607,7.1,1650
tt0011608,6.7,14
tt0011624,5.3,74
tt0011641,6.3,275
tt0011651,6.9,90
tt0011652,6.1,1923
tt0011654,6.7,122
tt0011679,5.7,367
tt0011716,5.8,683
tt0011753,5.4,280
tt0011756,6.4,47
tt0011812,5.0,19
tt0011837,6.0,718
tt0011841,7.3,6301
tt0011845,7.0,19
tt0011865,6.7,1565
tt0011870,6.4,4062
tt0011886,7.1,38
tt0011901,6.0,11
tt0011904,6.8,1451
tt0011908,5.5,187
tt0011923,6.4,15
tt0011948,6.8,506
tt0011953,5.0,64
tt0011960,6.9,1506
tt0011973,6.2,31
tt0011979,6.7,759
tt0012017,6.5,66
tt0012027,6.5,1130
tt0012068,6.8,582
tt0012107,6.1,91
tt0012136,6.2,339
tt0012168,6.3,19
tt0012190,7.1,3825
tt0012205,6.3,41
tt0012249,7.0,562
tt0012337,6.7,12
tt0012349,8.2,145525
tt0012364,8.0,15714
tt0012365,5.2,118
tt0012398,7.1,75
tt0012408,6.4,505
tt0012484,6.0,78
tt0012494,7.6,7350
tt0012532,7.3,5752
tt0012538,6.5,840
tt0012623,8.5,14
tt0012631,6.5,254
tt0012642,6.8,1374
tt0012675,6.2,3922
tt0012710,6.4,15
tt0012720,4.3,12
tt0012740,5.3,87
tt0012752,6.9,1266
tt0012769,5.9,257
tt0012807,5.3,32
tt0012827,6.3,93
tt0012830,6.3,24
tt0012868,7.0,33
tt0012938,6.7,2473
tt0012949,6.5,78
tt0012952,6.3,1647
tt0012973,6.9,847
tt0013086,7.8,9938
tt0013114,5.4,9
tt0013122,6.5,317
tt0013140,7.0,4360
tt0013201,7.0,2195
tt0013257,7.6,19138
tt0013274,6.7,93
tt0013284,6.8,48
tt0013293,5.5,40
tt0013367,5.3,377
tt0013369,6.4,69
tt0013373,6.3,123
tt0013386,6.6,498
tt0013388,5.4,48
tt0013393,5.8,13
tt0013404,6.4,392
tt0013427,7.6,14414
tt0013442,7.8,123275
tt0013451,6.8,25
tt0013496,6.7,2099
tt0013515,6.8,599
tt0013556,7.0,2682
tt0013571,6.6,1369
tt0013579,6.6,1234
tt0013597,5.8,802
tt0013607,6.1,422
tt0013617,5.5,26
tt0013619,5.9,266
tt0013674,6.9,704
tt0013682,6.2,139
tt0013688,6.6,1023
tt0013699,4.8,14
tt0013710,7.6,31
tt0013728,5.9,104
tt0013730,6.8,187
tt0013741,6.5,792
tt0013792,4.9,36
tt0013802,6.1,441
tt0013830,7.2,354
tt0013834,6.1,150
tt0013867,6.8,43
tt0013891,6.3,21
tt0013896,6.1,97
tt0013933,7.4,1587
tt0013951,6.6,897
tt0013981,6.4,43
tt0014003,6.6,156
tt0014022,5.9,113
tt0014029,6.7,1258
tt0014069,6.5,36
tt0014112,5.1,184
tt0014118,6.6,36
tt0014142,7.2,6814
tt0014174,6.6,12
tt0014181,5.7,14
tt0014183,7.3,16
tt0014186,6.1,152
tt0014191,5.4,89
tt0014205,6.4,1161
tt0014262,6.5,23
tt0014269,4.6,29
tt0014301,6.3,95
tt0014320,6.4,207
tt0014322,6.9,29
tt0014323,5.9,101
tt0014339,6.8,42
tt0014341,7.7,13535
tt0014358,7.2,6209
tt0014397,6.7,426
tt0014408,6.8,25
tt0014415,5.3,11
tt0014416,6.5,527
tt0014417,7.5,2787
tt0014429,8.1,24821
tt0014439,7.8,61
tt0014440,7.1,740
